,OTHER,PROFANITY,INSULT,RACIST,SEXIST
OTHER,0.9688440431934856,0.0010621348911311736,0.019118428040361127,0.009028146574614976,0.0019472473004071517
PROFANITY,0.005843681519357195,0.9459459459459459,0.02154857560262966,0.020452885317750184,0.00620891161431702
INSULT,0.05689548546691404,0.047619047619047616,0.860235003092146,0.027829313543599257,0.0074211502782931356
RACIST,0.022950819672131147,0.026885245901639345,0.015737704918032787,0.9324590163934426,0.0019672131147540984
SEXIST,0.02127659574468085,0.05673758865248227,0.0425531914893617,0.02127659574468085,0.8581560283687943
