,OTHER,PROFANITY,INSULT,RACIST,SEXIST
OTHER,0.9573375818728979,0.0012391573729863693,0.02743848468755532,0.011506461320587715,0.0024783147459727386
PROFANITY,0.03287070854638422,0.8692476260043828,0.05295836376917458,0.03469685902118334,0.010226442658875092
INSULT,0.16883116883116883,0.04823747680890538,0.7452071737786023,0.02906617192331478,0.008658008658008658
RACIST,0.08262295081967214,0.057704918032786885,0.05508196721311476,0.7960655737704918,0.008524590163934427
SEXIST,0.14184397163120568,0.10638297872340426,0.10638297872340426,0.03546099290780142,0.6099290780141844
