variant,model,temperature,val_nll_after_temperature,runtime_seconds,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_log_loss,val_top_label_ece,val_classwise_ece,val_macro_pr_auc,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall,test_log_loss,test_top_label_ece,test_classwise_ece,test_macro_pr_auc,val_uncalibrated_accuracy,val_uncalibrated_balanced_accuracy,val_uncalibrated_macro_f1,val_uncalibrated_weighted_f1,val_uncalibrated_macro_precision,val_uncalibrated_macro_recall,val_uncalibrated_log_loss,val_uncalibrated_top_label_ece,val_uncalibrated_classwise_ece,val_uncalibrated_macro_pr_auc,test_uncalibrated_accuracy,test_uncalibrated_balanced_accuracy,test_uncalibrated_macro_f1,test_uncalibrated_weighted_f1,test_uncalibrated_macro_precision,test_uncalibrated_macro_recall,test_uncalibrated_log_loss,test_uncalibrated_top_label_ece,test_uncalibrated_classwise_ece,test_uncalibrated_macro_pr_auc
raw,sgd,1.05,0.3450066204676864,67.83704352378845,0.8820051413881748,0.7643962749909496,0.7788283866400214,0.8806064523933298,0.7955560553380655,0.7643962749909496,0.3450066204676864,0.008437588000368685,0.0092961310033332,0.8332378202871084,0.8766066838046273,0.7798086303339703,0.7866258874000294,0.8756640806137913,0.7945800230802276,0.7798086303339703,0.34711516156527167,0.008249429340738794,0.01040739756036317,0.8452049683924242,0.8820051413881748,0.7643962749909496,0.7788283866400214,0.8806064523933298,0.7955560553380655,0.7643962749909496,0.3454173265155816,0.009503989808300462,0.008672990484569505,0.8333347060504191,0.8766066838046273,0.7798086303339703,0.7866258874000294,0.8756640806137913,0.7945800230802276,0.7798086303339703,0.3471694467744035,0.009771387651374714,0.009372564764100123,0.8453007060759079
light,sgd,1.05,0.3338045636535068,72.40354514122009,0.8872322193658955,0.7788807788252001,0.7888056752739911,0.8862350917191485,0.8000510375221255,0.7788807788252001,0.3338045636535068,0.008962043193060834,0.009065187182563264,0.84476499098916,0.8820051413881748,0.7955574066881119,0.7968640504401353,0.8813595201191072,0.7996371890832525,0.7955574066881119,0.3342256086943433,0.008338058827330096,0.010552752881733,0.8591984341919637,0.8872322193658955,0.7788807788252001,0.7888056752739911,0.8862350917191485,0.8000510375221255,0.7788807788252001,0.3347017208778284,0.012501128423183676,0.008929977218817258,0.844997065760662,0.8820051413881748,0.7955574066881119,0.7968640504401353,0.8813595201191072,0.7996371890832525,0.7955574066881119,0.33473845141148917,0.012036789839976761,0.010255945307540952,0.8593346993073823
light_masked,sgd,1.15,0.3801861268522191,78.09745264053345,0.8658954584404456,0.7521850902098272,0.757846698486713,0.864498800596266,0.764549743219539,0.7521850902098272,0.3801861268522191,0.011232102981300122,0.01230266928769357,0.8139096889302859,0.8608397600685519,0.7665869467230791,0.7641814955089972,0.8596480703816313,0.7640341753668293,0.7665869467230791,0.38304375029683696,0.008706728973967473,0.013062623420937908,0.8308001407861416,0.8658954584404456,0.7521850902098272,0.757846698486713,0.864498800596266,0.764549743219539,0.7521850902098272,0.3837390086574162,0.02200354295827229,0.0130299069678655,0.8147450472346393,0.8608397600685519,0.7665869467230791,0.7641814955089972,0.8596480703816313,0.7640341753668293,0.7665869467230791,0.38573748616666953,0.022507362536285835,0.013858367929908045,0.8313757270902563
